geoid,county,med_income,hh_total,hh_broadband_any,pct_broadband_any
17031,Cook,81797,2084578,1859300,89.19311246688778
17125,Mason,62127,5714,4923,86.15680784039202
17007,Boone,81638,19155,17051,89.01592273557817
17017,Cass,64907,5135,4359,84.88802336903603
17153,Pulaski,43227,1862,1057,56.766917293233085
17185,Wabash,53650,4784,3968,82.94314381270902
17161,Rock Island,66768,61192,54608,89.24042358478232
17097,Lake,108917,256660,240027,93.51944206343022
17189,Washington,75652,5722,4889,85.44215309332401
17039,De Witt,64802,6642,5661,85.23035230352303
17043,DuPage,110502,349497,329798,94.36361399382541
17049,Effingham,75380,14030,12595,89.7719173200285
17003,Alexander,43523,1826,1068,58.48849945235487
17129,Menard,81334,5195,4639,89.29740134744947
17175,Stark,62284,2289,1921,83.92311052861511
17187,Warren,64650,6722,5667,84.3052662897947
17171,Scott,73013,2032,1684,82.8740157480315
17027,Clinton,82314,14463,12972,89.69093549056213
17197,Will,107799,241310,224935,93.21412291243628
17047,Edwards,59386,2653,2201,82.96268375424049
17069,Hardin,57155,1484,1128,76.01078167115902
17067,Hancock,65044,7515,6138,81.67664670658682
17111,McHenry,102836,116329,110646,95.11471774020235
17033,Crawford,67614,7411,6569,88.63851032249359
17077,Jackson,45572,23088,19709,85.36469161469161
17073,Henry,69912,20261,17163,84.7095404965204
17123,Marshall,69818,4964,4156,83.72280419016921
17055,Franklin,53471,16130,13310,82.51704897706138
17095,Knox,53291,20765,16670,80.27931615699494
17081,Jefferson,61102,14805,12632,85.32252617359
17181,Union,56420,6914,4911,71.02979461961237
17009,Brown,72288,2021,1660,82.13755566551212
17169,Schuyler,66059,2732,2391,87.51830161054173
17103,Lee,68459,13382,11443,85.51038708713197
17051,Fayette,57113,7832,6413,81.88202247191012
17105,Livingston,70796,14614,12472,85.3428219515533
17143,Peoria,64938,77074,67801,87.96870540000519
17137,Morgan,65175,13125,10731,81.76
17173,Shelby,68457,8795,7585,86.242183058556
17203,Woodford,85629,14704,12952,88.08487486398259
17079,Jasper,71094,3766,3329,88.39617631439192
17147,Piatt,87516,6851,5971,87.15515983068165
17035,Cumberland,69826,4180,3584,85.74162679425838
17037,DeKalb,69022,39314,36455,92.72778145190009
17135,Montgomery,61863,11265,9273,82.31691078561917
17065,Hamilton,61520,3350,2718,81.13432835820896
17063,Grundy,93060,20518,18549,90.40354810410372
17029,Coles,56040,20335,17579,86.44701253995574
17199,Williamson,65521,28774,24986,86.83533745742685
17167,Sangamon,74114,84290,74018,87.8135010084233
17163,St. Clair,70178,101273,89251,88.12911634887877
17149,Pike,58029,5815,4680,80.48151332760104
17101,Lawrence,53438,5414,4793,88.52973771702992
17075,Iroquois,62439,11333,9557,84.32895085149563
17131,Mercer,71710,6413,5715,89.11585841259941
17201,Winnebago,64363,115449,101232,87.68547150689915
17151,Pope,62500,1364,996,73.02052785923753
17071,Henderson,65651,2662,2200,82.64462809917356
17083,Jersey,79104,7984,6676,83.61723446893788
17089,Kane,100678,183196,169377,92.45671302866874
17091,Kankakee,68325,40895,35567,86.97151240983005
17021,Christian,59253,13534,11332,83.72986552386583
17195,Whiteside,64536,23215,19500,83.99741546413956
17177,Stephenson,61943,19469,16437,84.42652421798758
17133,Monroe,101635,13830,12654,91.49674620390455
17127,Massac,62584,5482,4267,77.83655600145933
17179,Tazewell,76704,53812,47480,88.23310785698357
17099,LaSalle,72281,45092,38988,86.46323072828883
17113,McLean,78329,69072,60670,87.83588139911976
17057,Fulton,58617,13902,11966,86.07394619479211
17109,McDonough,50434,11760,9628,81.87074829931973
17107,Logan,64188,11122,9498,85.3983096565366
17005,Bond,61603,6256,5325,85.11828644501279
17019,Champaign,63091,83777,74368,88.76899387660097
17045,Edgar,56909,7612,6570,86.31108775617446
17011,Bureau,65894,14011,11702,83.5200913567911
17121,Marion,60839,15465,13130,84.90139023601681
17023,Clark,70625,6597,5728,86.82734576322571
17041,Douglas,74186,7821,6257,80.0025572177471
17061,Greene,60976,4514,3866,85.64466105449712
17115,Macon,62449,43334,36859,85.05792218581253
17139,Moultrie,71676,5822,4723,81.12332531776022
17159,Richland,60404,6401,5436,84.92423058897047
17053,Ford,60782,5728,4890,85.37011173184358
17141,Ogle,79244,20695,17885,86.42184102440203
17015,Carroll,60871,6478,5523,85.25779561593085
17025,Clay,57266,5431,4649,85.60117842018045
17087,Johnson,65203,4133,3271,79.14347931284782
17155,Putnam,77526,2473,2094,84.67448443186413
17193,White,53097,5669,4352,76.76838948668195
17001,Adams,64962,27770,23400,84.26359380626576
17119,Madison,74800,109385,98374,89.9337203455684
17145,Perry,59286,7994,6818,85.28896672504378
17013,Calhoun,92095,1222,1052,86.08837970540098
17157,Randolph,68870,11671,9814,84.08876702938909
17085,Jo Daviess,74954,10385,9033,86.98122291766971
17059,Gallatin,54626,2096,1600,76.33587786259542
17165,Saline,54945,10032,7614,75.89712918660287
17183,Vermilion,54537,30185,25740,85.27414278615207
17093,Kendall,110474,44526,42382,95.18483582625882
17117,Macoupin,68518,17431,15096,86.60432562675693
17191,Wayne,53107,6853,5497,80.2130453815847
